"language_id","greeting"
1,"Novogodišnja čestitka!"
1,"ŽELIMO VAM SRETNU I USPJEŠNU 2022"
2,"Честито Рождество Христово! Желаем Ви здрава, щастлива и успешна 2021 година!"
2,"ЖЕЛАЕМ ВИ ПРЕКРАСНА 2022 г.! "
3,"Novogodišnja čestitka!"
3,"ŽELIMO VAM SRETNU I USPJEŠNU 2022!"
4,"Veselé Vánoce a všechno nejlepší v novém roce!"
4,"PŘEJEME VÁM SKVĚLÝ ROK 2022!"
5,"Hermed sender vi de bedste ønsker om en glædelig jul og et godt nytår!"
5,"DU ØNSKES ET SUCCESFULDT 2022!"
6,"Wir wünschen Ihnen ein frohes Weihnachtsfest und einen guten Start ins Jahr 2021!"
6,"WIR WÜNSCHEN IHNEN EIN FROHES JAHR 2022!"
7,"Season's Greetings!"
7,"WE WISH YOU A WONDERFUL 2022!"
8,"Häid jõule ja head uut aastat!"
8,"ME SOOVIME TEILE ILUSAT AASTAT 2022!"
9,"Hyvää Joulua ja Onnellista Uutta Vuotta! "
9,"TOIVOTAMME SINULLE LOISTAVAA VUOTTA 2022!"
10,"Bonnes fêtes de fin d’année ! "
10,"NOUS VOUS SOUHAITONS UNE EXCELLENTE ANNEE 2022!"
11,"Καλά Χριστούγεννα και Ευτυχισμένος ο Νέος Χρόνος! "
11,"ΣΑΣ ΕΥΧΟΜΑΣΤΕ ΕΝΑ ΘΑΥΜΑΣΙΟ 2022!"
12,"Kellemes karácsonyi ünnepeket és sikerekben gazdag, boldog új évet kívánunk!"
12,"BOLDOG ÚJ ÉVET KÍVÁNUNK 2022!"
13,"Buon Natale e Felice anno nuovo!"
13,"TI AUGURIAMO UN FANTASTICO 2022!"
14,"新年明けましておめでとうございます！"
14,"2021年もよいお年でありますように！"
15,"Priecīgus Ziemassvētkus un laimīgu Jauno gadu!"
15,"MĒS JUMS NOVĒLAM BRĪNIŠĶĪGU 2022!"
16,"Šv.Kalėdų ir Laimingų Naujujų Metų!"
16,"MES LINKIME JUMS NUOSTABIŲ 2022!"
17,"Prettige feestdagen! "
17,"WE WISH YOU A WONDERFUL 2022!"
18,"God jul og godt nyttår!"
18,"MED DE BESTE ØNSKER FOR 2022!"
19,"Radosnych Świąt Bożego Narodzenia oraz sukcesów w Nowym Roku!"
19,"ŻYCZYMY WSPANIAŁEGO ROKU 2022!"
20,"Votos de um Feliz Natal e Próspero 2022!"
20,"DESEJAMOS A TODOS UM MARAVILHOSO 2022!"
21,"Craciun fericit si un An Nou cu impliniri!"
21,"VĂ DORIM MULTE REALIZĂRI ÎN 2022!"
22,"Novogodišnja čestitka!"
22,"ŽELIMO VAM SRETNU I USPEŠNU 2022!"
23,"Veselé Vianoce a všetko najlepšie do nového roku!"
23,"PRAJEME VÁM SKVELÝ ROK 2022!"
24,"Novoletna voščilnica!"
24,"ŽELIMO  VAM SREČNO IN USPEŠNO LETO 2022!"
25,"¡Feliz Navidad y Próspero 2022!"
25,"LE DESEAMOS UN MARAVILLOSO 2022!"
26,"Med tack för ett gott samarbete under det gångna året önskar vi en God Jul och ett Gott Nytt År!"
26,"VI ÖNSKAR ETT GOTT NYTT 2022!"
7,"Wishing you peace of mind on your journey through 2022!"
1,"Želimo Vam duševni mir na putu kroz 2022!"
2,"Желаем Ви душевен мир през предстоящата 2022 година!"
3,"Želimo vam spokoj na vašem putovanju kroz 2022. godinu!"
4,"Přejeme Vám klid na duši během celého roku 2022!"
5,"Vi ønsker dig en sikker kørsel i hele 2022!"
6,"Wir wünschen Ihnen für das Jahr 2022 Sicherheit und Gelassenheit bei allen Ihren Fahrten!"
8,"Soovime teile meelerahu teekonnal läbi 2022 aasta."
9,"Toivotamme sinulle rauhallista matkaa vuodelle 2022!"
10,"Nous vous souhaitons une route sereine en 2022 !"
11,"Σας ευχόμαστε ξέγνοιαστες διαδρομές το 2022!"
12,"Egész évben nyugalmas utazásokat kívánunk 2022-re!"
13,"Il nostro più caro augurio per un sereno viaggio nel 2022!"
14,"2021年があなたにとって安らかな年になることを祈っています!"
15,"Mierpilnu braucienu cauri 2022. gadam!"
16,"2022-aisiais linkime jums ramių kelionių!"
17,"Wij wensen u een ontspannen rit door 2022 toe!"
18,"Vi ønsker deg en trygg reise gjennom hele 2022!"
19,"Z życzeniami spokoju ducha podczas podróży przez 2022 rok!"
20,"Desejamos-lhe tranquilidade para as suas viagens em 2022!"
21,"Vă dorim un parcurs liniștit în 2022!"
22,"Želimo vam srećan put u novoj 2022!"
23,"Želáme vám pokojnú jazdu po celý rok 2022!"
24,"Želimo vam brezskrbno potovanje skozi leto 2022!"
25,"¡Le deseamos que su recorrido por 2022 sea tranquilo y placentero!"
26,"Vi önskar dig en trygg och säker färd under hela 2022!"
27,"Поздравляем вас с наступающим Новым годом!"
27,"МЫ ЖЕЛАЕМ ВАМ ОТЛИЧНОГО НОВОГО 2022 ГОДА!"
